Coin,Volatility,Risk,Moonshot Score
Bitcoin (BTC),40,5,10x
Ethereum (ETH),10,10,5x
XRP,10,7,5x
BNB,10,5,3x
Solana (SOL),10,3,3x
Cardano (ADA),15,10,5x
Polkadot (DOT),10,10,5x
Chainlink (LINK),10,10,5x
Avalanche (AVAX),30,5,10x
Cosmos (ATOM),10,10,5x
Near Protocol (NEAR),30,7,10x
Algorand (ALGO),20,5,5x
VeChain (VET),20,10,5x
Hedera (HBAR),15,3,3x
Fantom (FTM),40,7,20x
Polkadot (DOT),35,7,15x
Chainlink (LINK),10,7,5x
Avalanche (AVAX),30,7,10x
Stellar (XLM),15,5,3x
Internet Computer (ICP),10,10,5x
Filecoin (FIL),40,5,10x
Cosmos (ATOM),35,10,15x
Toncoin (TON),25,5,10x
TRON (TRX),40,10,100x
Ethereum Classic (ETC),20,5,5x
Monero (XMR),40,3,10x
Bitcoin Cash (BCH),15,3,3x
Algorand (ALGO),10,7,5x
VeChain (VET),25,7,10x
Hedera (HBAR),30,3,10x
Fantom (FTM),30,5,10x
Tezos (XTZ),35,3,15x
Theta Network (THETA),10,5,3x
Elrond (EGLD),15,7,5x
Aave (AAVE),40,10,100x
EOS (EOS),40,10,100x
Flow (FLOW),10,5,3x
Decentraland (MANA),15,5,3x
Sandbox (SAND),20,5,5x
Axie Infinity (AXS),30,5,10x
Chiliz (CHZ),20,10,5x
KuCoin Token (KCS),10,10,5x
Huobi Token (HT),10,7,5x
PancakeSwap (CAKE),15,7,5x
Zcash (ZEC),15,7,5x
Maker (MKR),40,7,20x
Neo (NEO),35,3,15x
Dash (DASH),30,10,15x
Polkadot (DOT),20,7,5x
Chainlink (LINK),15,10,5x
Avalanche (AVAX),25,5,10x
Cosmos (ATOM),20,3,5x
Near Protocol (NEAR),10,7,5x
Algorand (ALGO),35,10,15x
Filecoin (FIL),15,10,5x
The Graph (GRT),15,7,5x
Arweave (AR),40,10,100x
Flow (FLOW),35,7,15x
Internet Computer (ICP),25,3,10x
Fantom (FTM),30,7,10x
Hedera (HBAR),15,7,5x
Render (RNDR),25,10,15x
Sui (SUI),20,7,5x
Aptos (APT),30,5,10x
Kava (KAVA),40,7,20x
Thorchain (RUNE),25,5,10x
Kadena (KDA),20,10,5x
Ocean Protocol (OCEAN),40,3,10x
Helium (HNT),30,10,15x
Siacoin (SC),20,7,5x
iExec RLC (RLC),30,5,10x
OriginTrail (TRAC),30,3,10x
Akash Network (AKT),35,10,15x
Stacks (STX),10,10,5x
Optimism (OP),25,10,15x
Immutable (IMX),15,7,5x
Zilliqa (ZIL),10,3,3x
Ontology (ONT),10,5,3x
Nervos Network (CKB),20,5,5x
WOO Network (WOO),20,7,5x
Biconomy (BICO),25,7,10x
Dusk Network (DUSK),10,7,5x
Reserve Rights (RSR),15,5,3x
Energy Web Token (EWT),25,10,15x
Band Protocol (BAND),35,10,15x
Velas (VLX),25,3,10x
Fetch.ai (FET),20,7,5x
Covalent (CQT),40,7,20x
Litentry (LIT),40,5,10x
Metal DAO (MTL),35,3,15x
Numeraire (NMR),25,3,10x
API3,15,3,3x
Phala Network (PHA),10,10,5x
Radix (XRD),25,5,10x
DeXe (DEXE),10,10,5x
IoTeX (IOTX),25,10,15x
Aleph.im (ALEPH),20,7,5x
Marlin (POND),10,5,3x
