Coin,Volatility,Risk,Moonshot Score
Bitcoin (BTC),25,7,5x
Ethereum (ETH),30,6,4x
Solana (SOL),45,8,7x
Cardano (ADA),35,6,5x
Polkadot (DOT),40,7,6x
Avalanche (AVAX),50,8,8x
Chainlink (LINK),35,6,5x
Polygon (MATIC),40,7,6x
Cosmos (ATOM),35,6,5x
Near Protocol (NEAR),45,8,7x
Algorand (ALGO),30,5,4x
Tezos (XTZ),25,5,3x
Fantom (FTM),55,9,9x
Decentraland (MANA),60,9,8x
The Sandbox (SAND),60,9,8x
Axie Infinity (AXS),65,9,9x
Aave (AAVE),30,6,4x
Uniswap (UNI),35,7,5x
Compound (COMP),30,6,4x
SushiSwap (SUSHI),40,8,6x
Yearn.Finance (YFI),45,8,7x
Maker (MKR),25,5,3x
Curve DAO (CRV),35,7,5x
Synthetix (SNX),40,8,6x
1inch (1INCH),45,8,7x
PancakeSwap (CAKE),40,7,6x
Theta Network (THETA),30,6,4x
Filecoin (FIL),35,7,5x
The Graph (GRT),40,7,6x
Arweave (AR),45,8,7x
